api_names,,brand_sold_product,Cleaned Names,avg_price,count
Artemether / Lumefantrine,,LUMFENART,,150,1
Artemether / Lumefantrine,,LUMIART,,22,829
Artemether / Lumefantrine,,LUMITER,,0,164
Artemether / Lumefantrine,,LUMITERDT,,0,34
Artemether / Lumefantrine,,LUMITER DT,,1,525
Artemether / Lumefantrine,,LUMITER DT S,,0,46
Artemether / Lumefantrine,,MACLEODS,,0,798
Artemether / Lumefantrine,,MALARATE,,150,2
Artemether / Lumefantrine,,MALAREM,,77,66
Artemether / Lumefantrine,,MALBETA,,333,3
Artemether / Lumefantrine,,MALODAR,,50,8
Artemether / Lumefantrine,,NOVARTIS,,800,16
Artemether / Lumefantrine,,NOVATIS,,500,4
Artemether / Lumefantrine,,ORANGE FLAVOUR,,69,11
Artemether / Lumefantrine,,P ALAXIN,,350,1
Artemether / Lumefantrine,,PRO FANTRINE FORTE,,250,3
Artemether / Lumefantrine,,SHA ARTEM,,100,3
Artemether / Lumefantrine,,SHALARTEM,,96,18
Artemether / Lumefantrine,,SHAL ARTEM,,84,91
Artemether / Lumefantrine,,SHAL ARTEM FORTE,,281,9
Artemether / Lumefantrine,,SHAL ARTEM S,,50,11
Artemether / Lumefantrine,,SHALARTEM TEMRIN,,93,9
Artemether / Lumefantrine,,SHAR ARTEM,,60,2
Artemether / Lumefantrine,,TEMTRIN,,12,51
Artemether / Lumefantrine,,TEMTRINE,,150,1
Artemether / Lumefantrine,,VETENARY AL GLOVES,,15,4
Artemether / Lumefantrine,,WINART,,120,19
Artemether / Lumefantrine,,WINART FORTE,,146,217
